Starting client at 10.0.0.20:1234 with timeout:10
My IP address is 10.0.0.20Skipped Seq from 996 to 999
Skipped Seq from 999 to 1001
Skipped Seq from 1003 to 1006
Skipped Seq from 1007 to 1009
Skipped Seq from 1011 to 1014
Skipped Seq from 1014 to 1016
Skipped Seq from 1020 to 1022
Skipped Seq from 1022 to 1029
Skipped Seq from 1030 to 1033
Skipped Seq from 1033 to 1036
Skipped Seq from 1036 to 1038
Skipped Seq from 1038 to 1041
Skipped Seq from 1041 to 1044
Skipped Seq from 1044 to 1046
Skipped Seq from 1046 to 1048
Skipped Seq from 1048 to 1050
Skipped Seq from 1050 to 1055
Skipped Seq from 1058 to 1061
Skipped Seq from 1062 to 1064
Skipped Seq from 1064 to 1068
Skipped Seq from 1068 to 1070
Skipped Seq from 1071 to 1073
Skipped Seq from 1076 to 1078
Skipped Seq from 1079 to 1082
Skipped Seq from 1083 to 1086
Skipped Seq from 1090 to 1092
Skipped Seq from 1096 to 1098
Skipped Seq from 1098 to 1100
Skipped Seq from 1101 to 1105
Skipped Seq from 1107 to 1109
Skipped Seq from 1112 to 1114
Skipped Seq from 1114 to 1116
Skipped Seq from 1116 to 1118
Skipped Seq from 1121 to 1123
Skipped Seq from 1123 to 1125
Skipped Seq from 1125 to 1128
Skipped Seq from 1130 to 1132
Skipped Seq from 1132 to 1135
Skipped Seq from 1135 to 1138
Skipped Seq from 1138 to 1142
Skipped Seq from 1142 to 1149
Skipped Seq from 1154 to 1157
Skipped Seq from 1157 to 1171
Skipped Seq from 1174 to 1176
Skipped Seq from 1176 to 1178
Skipped Seq from 1179 to 1181
Skipped Seq from 1183 to 1185
Skipped Seq from 1187 to 1189
Skipped Seq from 1189 to 1193
Skipped Seq from 1193 to 1199
Skipped Seq from 1200 to 1202
Skipped Seq from 1206 to 1210
Skipped Seq from 1210 to 1212
Skipped Seq from 1212 to 1215
Skipped Seq from 1215 to 1218
Skipped Seq from 1218 to 1224
Skipped Seq from 1224 to 1226
Skipped Seq from 1228 to 1232
Skipped Seq from 1232 to 1234
Skipped Seq from 1235 to 1241
Skipped Seq from 1244 to 1246
Skipped Seq from 1249 to 1251
Skipped Seq from 1251 to 1255
Skipped Seq from 1255 to 1257
Skipped Seq from 1257 to 1260
Skipped Seq from 1261 to 1263
Skipped Seq from 1264 to 1266
Skipped Seq from 1266 to 1268
Skipped Seq from 1269 to 1271
Skipped Seq from 1272 to 1274
Skipped Seq from 1275 to 1277
Skipped Seq from 1277 to 1279
Skipped Seq from 1281 to 1283
Skipped Seq from 1284 to 1286
Skipped Seq from 1287 to 1289
Skipped Seq from 1289 to 1291
Skipped Seq from 1291 to 1293
Skipped Seq from 1293 to 1295
Skipped Seq from 1298 to 1300
Skipped Seq from 1300 to 1303
Skipped Seq from 1304 to 1306
Skipped Seq from 1307 to 1309
Skipped Seq from 1309 to 1318
Skipped Seq from 1318 to 1320
Skipped Seq from 1320 to 1324
Skipped Seq from 1325 to 1328
Skipped Seq from 1328 to 1330
Skipped Seq from 1331 to 1334
Skipped Seq from 1338 to 1341
Skipped Seq from 1341 to 1346
Skipped Seq from 1346 to 1348
Skipped Seq from 1348 to 1350
Skipped Seq from 1350 to 1353
Skipped Seq from 1353 to 1355
Skipped Seq from 1355 to 1360
Skipped Seq from 1361 to 1363
Skipped Seq from 1364 to 1370
Skipped Seq from 1370 to 1372
Skipped Seq from 1373 to 1375
Skipped Seq from 1377 to 1379
Skipped Seq from 1380 to 1382
Skipped Seq from 1384 to 1386
Skipped Seq from 1387 to 1390
Skipped Seq from 1393 to 1395
Skipped Seq from 1403 to 1405
Skipped Seq from 1407 to 1410
Skipped Seq from 1410 to 1415
Skipped Seq from 1416 to 1418
Skipped Seq from 1419 to 1422
Skipped Seq from 1422 to 1425
Skipped Seq from 1425 to 1427
Skipped Seq from 1428 to 1430
Skipped Seq from 1431 to 1433
Skipped Seq from 1437 to 1442
Skipped Seq from 1442 to 1445
Skipped Seq from 1447 to 1449
Skipped Seq from 1451 to 1453
Skipped Seq from 1453 to 1456
Skipped Seq from 1456 to 1459
Skipped Seq from 1461 to 1464
Skipped Seq from 1469 to 1474
Skipped Seq from 1474 to 1481
Skipped Seq from 1481 to 1487
Skipped Seq from 1487 to 1491
Skipped Seq from 1491 to 1494
Number of times throttled: 2
Received: 1248 / 1494 packets
Start time: 1315129569.369051
End time: 1315129572.261772
Duration: 2.892721
