Starting client at 10.0.0.12:1245 with timeout:10
My IP address is 10.0.0.12Skipped Seq from 1140 to 1142
Skipped Seq from 1155 to 1157
Skipped Seq from 1157 to 1159
Skipped Seq from 1164 to 1167
Skipped Seq from 1175 to 1178
Skipped Seq from 1179 to 1181
Skipped Seq from 1182 to 1185
Skipped Seq from 1185 to 1187
Skipped Seq from 1187 to 1191
Skipped Seq from 1191 to 1193
Skipped Seq from 1193 to 1196
Skipped Seq from 1196 to 1198
Skipped Seq from 1198 to 1200
Skipped Seq from 1201 to 1203
Skipped Seq from 1213 to 1216
Skipped Seq from 1216 to 1218
Skipped Seq from 1220 to 1222
Skipped Seq from 1222 to 1225
Skipped Seq from 1228 to 1232
Skipped Seq from 1233 to 1236
Skipped Seq from 1241 to 1245
Skipped Seq from 1247 to 1249
Skipped Seq from 1249 to 1251
Skipped Seq from 1269 to 1271
Skipped Seq from 1271 to 1273
Skipped Seq from 1273 to 1275
Skipped Seq from 1275 to 1278
Skipped Seq from 1281 to 1283
Skipped Seq from 1283 to 1285
Skipped Seq from 1285 to 1287
Skipped Seq from 1287 to 1290
Skipped Seq from 1291 to 1294
Skipped Seq from 1294 to 1296
Skipped Seq from 1297 to 1299
Skipped Seq from 1299 to 1302
Skipped Seq from 1312 to 1314
Skipped Seq from 1314 to 1317
Skipped Seq from 1323 to 1327
Skipped Seq from 1327 to 1331
Skipped Seq from 1335 to 1338
Skipped Seq from 1344 to 1346
Skipped Seq from 1346 to 1348
Skipped Seq from 1356 to 1358
Skipped Seq from 1362 to 1366
Skipped Seq from 1377 to 1380
Skipped Seq from 1386 to 1388
Skipped Seq from 1388 to 1392
Skipped Seq from 1396 to 1399
Skipped Seq from 1410 to 1412
Skipped Seq from 1421 to 1423
Skipped Seq from 1428 to 1435
Skipped Seq from 1440 to 1444
Skipped Seq from 1449 to 1451
Skipped Seq from 1452 to 1454
Skipped Seq from 1457 to 1460
Skipped Seq from 1461 to 1463
Skipped Seq from 1464 to 1468
Skipped Seq from 1470 to 1472
Skipped Seq from 1472 to 1474
Skipped Seq from 1474 to 1477
Skipped Seq from 1481 to 1483
Skipped Seq from 1483 to 1486
Skipped Seq from 1488 to 1491
Skipped Seq from 1491 to 1493
Skipped Seq from 1493 to 1496
Skipped Seq from 1496 to 1500
Skipped Seq from 1500 to 1502
Skipped Seq from 1502 to 1504
Skipped Seq from 1504 to 1506
Skipped Seq from 1506 to 1508
Skipped Seq from 1512 to 1514
Skipped Seq from 1514 to 1516
Skipped Seq from 1527 to 1531
Skipped Seq from 1532 to 1535
Skipped Seq from 1535 to 1537
Skipped Seq from 1537 to 1539
Skipped Seq from 1541 to 1543
Skipped Seq from 1544 to 1548
Skipped Seq from 1549 to 1551
Skipped Seq from 1556 to 1558
Skipped Seq from 1563 to 1565
Skipped Seq from 1566 to 1568
Skipped Seq from 1571 to 1573
Skipped Seq from 1573 to 1576
Skipped Seq from 1580 to 1583
Skipped Seq from 1584 to 1586
Skipped Seq from 1586 to 1591
Skipped Seq from 1594 to 1596
Skipped Seq from 1597 to 1599
Skipped Seq from 1599 to 1601
Skipped Seq from 1602 to 1605
Skipped Seq from 1605 to 1608
Skipped Seq from 1610 to 1612
Skipped Seq from 1613 to 1616
Skipped Seq from 1620 to 1623
Skipped Seq from 1623 to 1625
Skipped Seq from 1637 to 1642
Skipped Seq from 1643 to 1645
Skipped Seq from 1655 to 1660
Skipped Seq from 1663 to 1671
Skipped Seq from 1674 to 1676
Skipped Seq from 1676 to 1678
Skipped Seq from 1679 to 1681
Skipped Seq from 1691 to 1697
Skipped Seq from 1697 to 1702
Skipped Seq from 1703 to 1706
Skipped Seq from 1708 to 1710
Skipped Seq from 1714 to 1716
Skipped Seq from 1716 to 1719
Skipped Seq from 1720 to 1722
Skipped Seq from 1732 to 1736
Skipped Seq from 1741 to 1751
Skipped Seq from 1787 to 1791
Skipped Seq from 1791 to 1796
Skipped Seq from 1820 to 1822
Skipped Seq from 1822 to 1824
Skipped Seq from 1824 to 1828
Skipped Seq from 1828 to 1831
Skipped Seq from 1831 to 1835
Skipped Seq from 1836 to 1839
Skipped Seq from 1839 to 1850
Skipped Seq from 1850 to 1852
Skipped Seq from 1853 to 1862
Skipped Seq from 1878 to 1883
Skipped Seq from 1883 to 1885
Skipped Seq from 1885 to 1889
Skipped Seq from 1890 to 1897
Skipped Seq from 1897 to 1906
Skipped Seq from 1906 to 1913
Skipped Seq from 1913 to 1916
Skipped Seq from 1917 to 1920
Skipped Seq from 1928 to 1932
Skipped Seq from 1932 to 1934
Skipped Seq from 1940 to 1942
Skipped Seq from 1944 to 1946
Skipped Seq from 1952 to 1957
Skipped Seq from 1960 to 1963
Skipped Seq from 1966 to 1968
Skipped Seq from 1968 to 1970
Skipped Seq from 1970 to 1972
Skipped Seq from 1977 to 1979
Skipped Seq from 1979 to 1981
Skipped Seq from 1981 to 1984
Skipped Seq from 1992 to 1996
Skipped Seq from 1996 to 1998
Skipped Seq from 2003 to 2006
